Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E0,32,8.0625,4,66.66666666666667
CB.FB2E1,13,6.153846153846154,9,12.037037037037036
CB.FB2E4,1,5.0,5,1.6666666666666667
CB.FB2E6,2,5.5,5,3.3333333333333335
CB.FB2I1,1,5.0,6,1.3888888888888888
CB.FB2I2,1,5.0,6,1.3888888888888888
CB.FB5I4,9,6.666666666666667,1,75.0
Delta7,74,16.33783783783784,40,15.416666666666666
EPG,34,13.235294117647058,47,6.028368794326241
ExR5,29,8.413793103448276,4,60.416666666666664
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",58,6.896551724137931,36,13.425925925925926
FB4O,6,6.333333333333333,8,6.25
"FB4P,FB4Q,FB4R",17,6.588235294117647,11,12.878787878787879
FB4X,1,6.0,2,4.166666666666667
FB4Y,7,5.571428571428571,6,9.722222222222221
FB5A,43,9.209302325581396,4,89.58333333333333
"FB5C,FB5F,FB5G,FB5P,FB5Q",73,6.821917808219178,24,25.34722222222222
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",25,7.84,18,11.574074074074074
FB5X,24,6.416666666666667,6,33.333333333333336
FB5Y,1,5.0,4,2.0833333333333335
FC2A,31,11.258064516129032,16,16.145833333333332
FC2B,42,9.095238095238095,28,12.5
FC2C,59,9.983050847457626,40,12.291666666666666
LPsP,18,11.0,2,75.0
NoType,3,11.333333333333334,9374,0.0026669511414550884
P1-9,2,8.5,2,8.333333333333334
PFL2,1,5.0,12,0.6944444444444444
"PFNm,PFNp",68,6.8088235294117645,321,1.7653167185877465
VES041,33,7.212121212121212,2,137.5
hDeltaA,25,26.08,10,20.833333333333332
hDeltaG,9,7.888888888888889,8,9.375
hDeltaH,15,17.533333333333335,8,15.625
hDeltaI,53,24.358490566037737,20,22.083333333333332
hDeltaJ,2,5.5,30,0.5555555555555556
hDeltaM,25,41.12,8,26.041666666666668
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",39,7.051282051282051,315,1.0317460317460319
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",9,6.222222222222222,74,1.0135135135135136
