Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E0,21,6.333333333333333,4,21.875
CB.FB2E1,14,6.785714285714286,9,6.481481481481482
CB.FB2E4,3,5.666666666666667,5,2.5
CB.FB2E6,4,6.25,5,3.3333333333333335
CB.FB2E9,2,5.0,4,2.0833333333333335
CB.FB5I4,9,6.222222222222222,1,37.5
Delta7,144,14.729166666666666,40,15.0
EPG,50,11.12,47,4.432624113475177
ExR5,55,8.472727272727273,4,57.291666666666664
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",19,5.7368421052631575,36,2.199074074074074
FB4N,4,5.75,2,8.333333333333334
FB4O,17,5.9411764705882355,8,8.854166666666666
"FB4P,FB4Q,FB4R",34,6.647058823529412,11,12.878787878787879
FB4X,2,6.5,2,4.166666666666667
FB5A,84,10.738095238095237,4,87.5
"FB5C,FB5F,FB5G,FB5P,FB5Q",150,7.226666666666667,24,26.041666666666668
FB5H,2,5.0,2,4.166666666666667
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",27,6.2592592592592595,18,6.25
FB5X,36,6.833333333333333,6,25.0
FB5Y,5,6.4,4,5.208333333333333
FC2A,71,10.80281690140845,16,18.489583333333332
FC2B,71,8.338028169014084,28,10.56547619047619
FC2C,70,7.514285714285714,40,7.291666666666667
LPsP,4,6.5,2,8.333333333333334
P1-9,5,14.2,2,10.416666666666666
P6-8P9,2,6.5,4,2.0833333333333335
VES041,48,10.041666666666666,2,100.0
hDeltaA,51,31.45098039215686,10,21.25
hDeltaG,17,9.294117647058824,8,8.854166666666666
hDeltaH,36,18.944444444444443,8,18.75
hDeltaI,97,21.278350515463917,20,20.208333333333332
hDeltaM,46,27.08695652173913,8,23.958333333333332
