Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
"CB.FB3,4L0",6,6.166666666666667,6,2.6315789473684212
CB.FB6D0,4,5.75,1,10.526315789473685
CB.FB6D2,17,7.0588235294117645,2,22.36842105263158
CB.FB6E4,28,6.392857142857143,8,9.210526315789474
CB.FB6I0,4,5.75,4,2.6315789473684212
CB.FB7D0,104,6.846153846153846,10,27.36842105263158
FB1G,18,6.388888888888889,2,23.68421052631579
FB4N,2,6.0,2,2.6315789473684212
FB5A,58,7.362068965517241,4,38.1578947368421
FB5AB,3,5.0,2,3.9473684210526314
FB5O,3,6.0,3,2.6315789473684212
FB6V,22,6.818181818181818,2,28.94736842105263
FB6W,35,7.3428571428571425,4,23.026315789473685
FB6Z,3,5.333333333333333,2,3.9473684210526314
FB7E,11,5.818181818181818,5,5.7894736842105265
FB7G,11,7.909090909090909,2,14.473684210526315
FB8G,17,5.411764705882353,6,7.456140350877193
FC3,38,6.684210526315789,40,2.5
hDeltaA,8,7.5,10,2.1052631578947367
hDeltaB,58,11.775862068965518,18,8.47953216374269
hDeltaE,14,8.0,8,4.605263157894737
hDeltaF,9,8.11111111111111,8,2.960526315789474
hDeltaG,55,13.0,8,18.092105263157894
hDeltaH,33,13.424242424242424,8,10.855263157894736
hDeltaL,72,12.73611111111111,12,15.789473684210526
